Name,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two,Year,Round,Home Team,Away Team
Mark Nicholls,15,Interchange,38:00,-,-,-,-,-,-,-,-,39,9,78,16,34,-,-,-,-,-,7,-,3.11s,-,-,-,-,2,-,9,-,96.55%,28,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31:16,07:16,2024,15,Sharks,Dolphins
Ray Stone,16,Interchange,37:00,-,-,-,-,-,-,-,-,26,6,59,-,18,-,-,-,-,-,6,-,2.91s,-,-,-,-,1,-,6,-,89.29%,25,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,37:07,-,2024,15,Sharks,Dolphins
Kurt Donoghoe,17,Interchange,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,15,Sharks,Dolphins
Oryn Keeley,18,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,15,Sharks,Dolphins
Jordan Rapana,1,Fullback,80:00,8,1,2,3,-,66.67%,-,-,60,18,176,41,44,2,-,-,-,8,-,-,3.36s,1,2,-,1,1,35,61,1.94,71.43%,10,4,-,-,8,2,58,-,1,-,-,-,-,-,4,4,-,-,-,-,-,-,-,80:00,-,2024,15,Raiders,Cowboys
Nick Cotric,2,Winger,80:00,-,-,-,-,-,-,-,-,21,14,111,-,36,-,-,-,-,1,-,-,2.63s,-,-,-,1,-,3,17,0.21,100%,6,-,-,-,-,1,12,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,80:00,-,2024,15,Raiders,Cowboys
Matthew Timoko,3,Centre,80:00,-,-,-,-,-,-,-,-,35,14,134,-,44,-,-,-,-,5,-,-,3.01s,1,-,-,1,1,2,15,0.14,100%,12,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,15,Raiders,Cowboys
Sebastian Kris,4,Centre,80:00,-,-,-,-,-,-,-,-,30,9,91,-,38,-,1,1,-,1,-,-,3.08s,-,-,-,1,1,8,14,0.89,84.62%,11,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,80:00,-,2024,15,Raiders,Cowboys
Xavier Savage,5,Winger,80:00,4,1,-,-,-,-,-,-,22,10,119,17,39,1,-,-,-,3,-,-,3.34s,-,-,-,-,-,3,15,0.3,40%,2,3,-,-,1,1,18,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,15,Raiders,Cowboys
Ethan Strange,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,54,8,94,-,23,-,1,1,-,7,-,-,3.96s,1,1,-,2,2,19,27,2.38,86.96%,20,3,-,-,-,2,75,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,15,Raiders,Cowboys
